Date|Answer|Social Quality Modifier|Social Link Modifier
2011-04-14|When Jesus was born|Knowledge +2|
2011-04-18|The|Knowledge +2|
2011-04-20|Millennium|Expression +2|Magician +2
2011-04-23|They were by riverside|Expression +2|Magician +2
2011-04-25|8 AM|Knowledge +2|
2011-04-26|It's a perfect number|Expression +2|Chariot +2
2011-04-30|Mt. Olympus|Knowledge +2|
2011-05-07|Ionize|Knowledge +2|
2011-05-09|8 AM, Before Christ||
2011-05-10|6, Millennium||
2011-05-11|Rene Descartes, Mt. Olympus||
2011-05-26|Sacred Carvings|Expression +2|Magician +2
2011-06-08|From the play, Hamlet|Expression +2|Priestess +2
2011-06-13|Anaerobic|Knowledge +2|
2011-06-15|To Hang|Expression +2|Magician +2
2011-06-20|Socrates|Knowledge +2|
2011-06-27|Hatred and Jealousy|Knowledge +2|
2011-06-30|Pis Pis River|Knowledge +2|
2011-07-04|Inductive Reasoning|Expression +2|Magician +2
2011-07-07|Kakinomoto no Hitomaro|Knowledge +2|
2011-07-13|It takes time|Knowledge +2|
2011-07-14|Civil Dawn|Knowledge +2|
2011-07-15|No, it's not possible|Knowledge +2|
2011-07-16|Insect Repellent|Knowledge +2|
2011-07-19|To Hang, From the play, Hamlet||
2011-07-20|Man-Yoshu, Socrates||
2011-07-21|Insect Repellent, Jealousy of the superior||
2011-07-22|Melons, Nautical Dawn is brightest||
2011-09-01|1900|Knowledge +2|
2011-09-05|Sardine|Knowledge +2|
2011-09-17|To make profit from spices|Knowledge +2|
2011-09-20|Centenarians|Knowledge +2|
2011-09-28|Hyperbole|Expression +2|Magician +2
2011-10-04|0.5|Knowledge +2|
2011-10-05|Green Pigment Ages|Expression +2|Magician +2
2011-10-08|Teacher|Knowledge +2|
2011-10-11|His Height|Knowledge +2|
2011-10-12|2 Yen|Knowledge +2|
2011-10-13|Speed up growth|Knowledge +2|
2011-10-14|Hyperbole, Growth speeds up||
2011-10-15|Magellan, 1900||
2011-10-17|All of the Above, Teacher||
2011-10-18|2 Yen, The Sun King||
2011-10-19|Sardine,  Shellfish Pigment||
2011-11-01|From the shoulder to the back|Knowledge +2|
2011-11-04|It excretes toxins|Expression +2|Magician +2
2011-11-07|South Pole|Knowledge +2|
2011-11-11|Koch|Knowledge +2|
2011-11-17|Gamble|Expression +2|Magician +2
2011-11-22|Patagonian ice field|Knowledge +2|
2011-11-24|6|Knowledge +2|
2011-11-25|Last chance|Knowledge +2|
2011-11-26|X'mas|Knowledge +2|
2011-11-28|Oct, The back to the shoulders||
2011-11-29|Excretes toxins, Chile and Argentina||
2011-11-30|A Gamble, William Shakespeare||
2011-12-01|South Pole, 30 Degrees, 1 Million Yen||
2011-12-02|Discovered tuberculosis, French||
2011-12-09|Insects|Knowledge +2|
2011-12-10|Big Toe|Knowledge +2|
2011-12-17|It follows something|Expression +2|Chariot +2
2011-12-21|It’s a sign of royal blood|Expression +2|Magician +2
