Social Link|Rank 1|Rank 2|Rank 3|Rank 4|Rank 5|Rank 6|Rank 7|Rank 8|Rank 9|Rank 10
Fool|0|0|0|0|0|0|0|0|0|0
Magician|0|0|2|3|4|4|6|6|4|8
Priestess|0|0|2|2|4|5|6|7|8|8
Empress|0|0|0|0|0|0|0|0|0|0
Emperor|0|0|2|2|4|6|4|5|6|6
Hierophant|0|0|4|4|6|6|5|5|6|8
Lovers|0|0|2|4|6|6|6|8|6|9
Chariot|0|0|3|3|4|4|6|5|6|10
Justice|0|3|6|9|10|12|9|6|10|12
Hermit|0|0|0|0|0|0|0|0|0|0
Fortune|0|0|0|3|5|6|8|8|4|8
Strength (Basketball)|0|0|6|6|6|4|0|5|7|6
Strength (Soccer)|0|0|4|2|3|2|4|0|6|6
Hanged Man|0|0|0|4|4|4|4|4|6|6
Death|0|0|0|0|0|0|0|0|0|0
Temperance|0|0|2|2|4|3|4|6|4|13
Devil|0|0|0|3|3|4|2|6|6|3
Tower|0|0|2|6|3|5|5|4|4|0
Moon|0|0|4|4|4|0|4|8|8|6
Sun (Drama)|0|0|2|2|6|5|6|7|0|5
Sun (Music)|0|0|2|2|4|6|6|6|4|6
Judgement|0|0|0|0|0|0|0|0|0|0
