Date|Event Name|Key Responses|Social Link Auto Level Up|Social Link Modifier|Social Quality Modifier
2011-04-11|Welcome to Inaba||||
2011-04-12|1st Day of School|“Are you calling me a loser?”|||Courage +2
2011-04-13|2nd Day of School||||Knowledge +2
2011-04-14|Meeting Teddie|“Are you guys okay?”|||Understanding +2
2011-04-15|TV World: Yosuke|“I'm worried about Chie”|||Understanding +2
2011-04-16|Yukiko Missing||Magician||
2011-04-17|TV World: Chie||Fool||
2011-04-18|Establish Chariot||Chariot||
2011-04-29|Last Day to Save Yukiko||||
2011-04-30|Yukiko Joins Party||Fool||
2011-05-02|School Things||||Knowledge +2
2011-05-03|Establish Justice||Justice||
2011-05-05|Sight Seeing||Hermit||
2011-05-13|Special Report: Kanji||||
2011-05-14|Signs of Kanji Kidnapping||||
2011-05-15|Establishing Investigation HQ|“Both”/”Neither”|||Understanding +2/Courage +2
2011-05-16|Spying on Kanji Day 1||||
2011-05-17|Spying on Kanji Day 2||Priestess||
2011-05-18|Search for Kanji||Fool||
2011-05-30|School Things||||Knowledge +2
2011-06-04|Last Day to Save Kanji||||
2011-06-06|Kanji Joins Party||Fool||
2011-06-08|Meeting Naoki|“Kitao from Santo Inc”, “Can it come in two months”|||Knowledge +2, Expression +2
2011-06-10|Cup of Noodles||||
2011-06-14|Hanging with Nanako||||
2011-06-16|Shopping for Mystery Food X||||
2011-06-17|Nature School Day 1|Eat it, “Don't do this”||Chariot +2 & Priestess +2,|, Expression +2
2011-06-18|Nature School Day 2||||
2011-06-22|Spying on Rise|Recommend ganmodoki||Magician +2|
2011-06-23|Protecting Rise||||
2011-06-24|Investigation: Rise||Star||
2011-07-09|Rise Rescue Deadline||||
2011-07-10|Teddie & Rise Join the Party|“Leave it to me”, “I'm here with you”|Fool, Fool||Courage +2, Understanding +2
2011-07-11|Talking about King Moron||||
2011-07-12|School Things||||Knowledge +2
2011-07-23|Exam Woes|“My pen was on fire”/”Just you wait and see”, “I'll protect you”|Lovers|, Justice +2|Courage +2/Expression +2,
2011-07-26|Mitsuo Taunt||Star||
2011-07-27|Start of Summer Vacation||Fool||
2011-08-12|Last Day to Save Mitsuo||||
2011-08-13|Case Shut?||||
2011-08-15|Part-Time Day 1|||Chariot +2 & Magician +2|
2011-08-15|Studying Day 1|||Emperor +2 & Lovers +2|
2011-08-16|Part-Time Day 2||||
2011-08-16|Studying Day 2||||
2011-08-17|Part-Time Day 3||||
2011-08-17|Studying Day 3||||
2011-08-18|Part-Time Day 4||||
2011-08-18|Studying Day 4||||
2011-08-19|Part-Time Day 5|||Chariot +2 & Magician +2|
2011-08-19|Studying Day 5|||Emperor +2 & Lovers +2|
2011-08-20|Summer Festival|“You look cute in it”, “”You look great in it, Rise.”/”You actually look sexy, Chie.”/”It suits Yukiko the best.”||Justice +2, Lovers +3/Chariot +3/Priestess +3|
2011-08-24|Nanako's HW Night 1|||Magician +1, Justice +1|
2011-08-25|Nanako's HW Night 2|||Chariot +1, Priestess +1, Justice +1|
2011-08-26|Nanako's HW Night 3|||Justice +1|
2011-08-27|Nanako's HW Night 4|||Emperor +2, Lovers +2, Justice +1|
2011-08-28|Nanako's HW Night 5|||Justice +1|
2011-08-31|Watermelon Party||||
2011-09-01|Meeting Kohai Naoto||||Knowledge +2
2011-09-05|School Things||||Knowledge +2
2011-09-08|Port Island Day 1||Star||
2011-09-09|Port Island Day 2|“#1 rests on my lap”/”#2 sits on my lap”/”#3 hugs me”/”#4 gets a piggyback ride”||Lovers +3/Chariot +3/Priestess +3/Magician +3|
2011-09-10|Port Island Day 3|Buy an Iwatodai Lamp, “Come with me next time”||Justice +3, Justice +2|
2011-09-12|Naoto Interview||||Knowledge +2
2011-09-13|Naoto's Plan||||
2011-09-15|Midnight Channel's Future||||
2011-09-20|School Things||||Knowledge +2
2011-09-24|School Things||||Knowledge +2
2011-10-03|School Things||||Knowledge +2
2011-10-05|Last Day to Save Naoto||||
2011-10-06|Naoto Joins Party||Fool||
2011-10-07|Team Checkup||Star||
2011-10-11|Study Group||Star||
2011-10-20|Receive Threatening Letter #1||||
2011-10-26|School Things||||Knowledge +2
2011-10-27|Culture Festival Preparation 1|“Enter the pageant, dammit.”|||Expression +2
2011-10-28|Culture Festival Preparation 2||||
2011-10-29|Culture Festival Day 1|“Quickly grab a guy's seat”/“Boldly sit on the girl's area”, (“Someone like Chie”/”Someone like Yukiko”)/(“Ask Yukiko the same question”/”Ignore her”, “Yosuke”/”Kanji”)|||
2011-10-30|Culture Festival Day 2||Star||
2011-10-31|Sick Nanako||||
2011-11-04|Kotatsu Problems||||
2011-11-05|Receive Threatening Letter #2||||
2011-11-06|Search for Nanako||Fool||
2011-11-20|Last Day to Save Nanako||||
2011-11-21|Namatame Caught||||Knowledge +2
2011-12-03|Drama at the Hospital|Good ending day, pick the following answers: “Wait a second here...”, “We're missing something”, “Namatame's true feelings”, “Something's bothering me”, “We're missing something...”, “Calm the hell down!”|Fool, Judgement||
2011-12-04|Missing Teddie||Judgement, Judgement||
2011-12-05|Who's the True Killer?|Adachi|Star, Judgement, Judgement||
2011-12-06|Hunt for Adachi||Judgement||
2011-12-07|TV World: Adachi||Judgement||
2011-12-22|Last Day to Catch Adachi||||
