Arcana Number|Arcana Name|Current Rank|Current Points|Triggered Flags|Total Flags
Nulla|Fool|0|0|0|0
I|Magician|0|0|0|0
II|Priestess|0|0|0|0
III|Empress|0|0|0|0
IV|Emperor|0|0|0|0
V|Hierophant|0|0|0|0
VI|Lovers|0|0|0|0
VII|Chariot|0|0|0|0
VIII|Justice|0|0|0|0
IX|Hermit|0|0|0|0
X|Fortune|0|0|0|1
XI|Strength|0|0|0|0
XII|Hanged Man|0|0|0|2
XIII|Death|0|0|0|0
XIV|Temperance|0|0|0|1
XV|Devil|0|0|0|1
XVI|Tower|0|0|0|1
XVII|Star|0|0|0|0
XVIII|Moon|0|0|0|1
XIX|Sun|0|0|0|0
XX|Judgement|0|0|0|0
