Hangout Id|Date|Arcana Number|Activity Name
SAH-20110416I|2011-04-16|I|Hangout with Magician
SAH-20110418VII|2011-04-18|VII|Hangout with Chariot
SAH-20110419XI|2011-04-19|XI|Hangout with Strength
SAH-20110420I|2011-04-20|I|Hangout with Magician
SAH-20110421XI|2011-04-21|XI|Hangout with Strength
SAH-20110422I|2011-04-22|I|Hangout with Magician
SAH-20110423I|2011-04-23|I|Hangout with Magician
SAH-20110423XI|2011-04-23|XI|Hangout with Strength
SAH-20110423XIV|2011-04-23|XIV|Hangout with Temperance
SAH-20110424I|2011-04-24|I|Hangout with Magician
SAH-20110425I|2011-04-25|I|Hangout with Magician
SAH-20110425XIX|2011-04-25|XIX|Hangout with Sun
SAH-20110425XIV|2011-04-25|XIV|Hangout with Temperance
SAH-20110426VII|2011-04-26|VII|Hangout with Chariot
SAH-20110426XI|2011-04-26|XI|Hangout with Strength
SAH-20110426XIX|2011-04-26|XIX|Hangout with Sun
SAH-20110427XVIII|2011-04-27|XVIII|Hangout with Moon
SAH-20110428XIX|2011-04-28|XIX|Hangout with Sun
SAH-20110503VIII|2011-05-03|VIII|Hangout with Justice
SAH-20110504I|2011-05-04|I|Hangout with Magician
SAH-20110504VII|2011-05-04|VII|Hangout with Chariot
SAH-20110505IX|2011-05-05|IX|Hangout with Hermit
SAH-20110506I|2011-05-06|I|Hangout with Magician
SAH-20110506VII|2011-05-06|VII|Hangout with Chariot
SAH-20110506XIV|2011-05-06|XIV|Hangout with Temperance
SAH-20110506IX|2011-05-06|IX|Hangout with Hermit
SAH-20110506V|2011-05-06|V|Hangout with Hierophant
SAH-20110507IX|2011-05-07|IX|Hangout with Hermit
SAH-20110507VIII|2011-05-07|VIII|Hangout with Justice
SAH-20110508I|2011-05-08|I|Hangout with Magician
SAH-20110508IX|2011-05-08|IX|Hangout with Hermit
SAH-20110508V|2011-05-08|V|Hangout with Hierophant
SAH-20110512I|2011-05-12|I|Hangout with Magician
SAH-20110512VII|2011-05-12|VII|Hangout with Chariot
SAH-20110512XI|2011-05-12|XI|Hangout with Strength
SAH-20110512XIX|2011-05-12|XIX|Hangout with Sun
SAH-20110512IX|2011-05-12|IX|Hangout with Hermit
SAH-20110512V|2011-05-12|V|Hangout with Hierophant
SAH-20110513XVIII|2011-05-13|XVIII|Hangout with Moon
SAH-20110513XIV|2011-05-13|XIV|Hangout with Temperance
SAH-20110513IX|2011-05-13|IX|Hangout with Hermit
SAH-20110517II|2011-05-17|II|Hangout with Priestess
SAH-20110518XI|2011-05-18|XI|Hangout with Strength
SAH-20110518XVIII|2011-05-18|XVIII|Hangout with Moon
SAH-20110518IX|2011-05-18|IX|Hangout with Hermit
SAH-20110518VIII|2011-05-18|VIII|Hangout with Justice
SAH-20110519XI|2011-05-19|XI|Hangout with Strength
SAH-20110519XIX|2011-05-19|XIX|Hangout with Sun
SAH-20110519XVIII|2011-05-19|XVIII|Hangout with Moon
SAH-20110519IX|2011-05-19|IX|Hangout with Hermit
SAH-20110519III|2011-05-19|III|Hangout with Empress
SAH-20110520XVIII|2011-05-20|XVIII|Hangout with Moon
SAH-20110520XIV|2011-05-20|XIV|Hangout with Temperance
SAH-20110520IX|2011-05-20|IX|Hangout with Hermit
SAH-20110520III|2011-05-20|III|Hangout with Empress
SAH-20110520VIII|2011-05-20|VIII|Hangout with Justice
SAH-20110521I|2011-05-21|I|Hangout with Magician
SAH-20110521VII|2011-05-21|VII|Hangout with Chariot
SAH-20110521XI|2011-05-21|XI|Hangout with Strength
SAH-20110521XIV|2011-05-21|XIV|Hangout with Temperance
SAH-20110521IX|2011-05-21|IX|Hangout with Hermit
SAH-20110521III|2011-05-21|III|Hangout with Empress
SAH-20110521V|2011-05-21|V|Hangout with Hierophant
SAH-20110522I|2011-05-22|I|Hangout with Magician
SAH-20110522II|2011-05-22|II|Hangout with Priestess
SAH-20110522IX|2011-05-22|IX|Hangout with Hermit
SAH-20110522III|2011-05-22|III|Hangout with Empress
SAH-20110522V|2011-05-22|V|Hangout with Hierophant
SAH-20110523I|2011-05-23|I|Hangout with Magician
SAH-20110523VII|2011-05-23|VII|Hangout with Chariot
SAH-20110523II|2011-05-23|II|Hangout with Priestess
SAH-20110523XIX|2011-05-23|XIX|Hangout with Sun
SAH-20110523XIV|2011-05-23|XIV|Hangout with Temperance
SAH-20110523IX|2011-05-23|IX|Hangout with Hermit
SAH-20110523III|2011-05-23|III|Hangout with Empress
SAH-20110523VIII|2011-05-23|VIII|Hangout with Justice
SAH-20110524VII|2011-05-24|VII|Hangout with Chariot
SAH-20110524II|2011-05-24|II|Hangout with Priestess
SAH-20110524XI|2011-05-24|XI|Hangout with Strength
SAH-20110524XIX|2011-05-24|XIX|Hangout with Sun
SAH-20110524IX|2011-05-24|IX|Hangout with Hermit
