Book Id|Book Title|Is Obtained|Read Chapters|Total Chapters|Courage Modifier|Diligence Modifier|Knowledge Modifier|Understanding Modifier|Expression Modifier
300ram|The Ramen Way|FALSE|0|4|0|0|2|0|2
100gre|A Great Man|FALSE|0|4|4|0|0|0|0
800off|Off Today|FALSE|0|4|0|0|0|4|0
300gen|The Gentle Way|FALSE|0|4|0|0|2|0|2
700lov|Lovely Witch Detective|FALSE|0|4|0|2|0|2|0
100for|Forever Macho|FALSE|0|4|4|0|0|0|0
300pun|The Punk's Way|FALSE|0|4|0|0|2|0|2
800sho|Short on Cash|FALSE|0|4|0|0|0|4|0
000gui|Guide to Pests|FALSE|0|4|2|0|2|0|0
100man|Man of History|FALSE|0|4|4|0|0|0|0
900fun|Fun with Numbers|FALSE|0|4|0|2|2|0|0
800cha|Changing Careers|FALSE|0|4|0|0|0|4|0
300och|The O-Cha Way|FALSE|0|4|0|0|2|0|2
700rid|Riddlemania|FALSE|0|4|0|2|0|2|0
300div|The Divine Way|FALSE|0|4|0|0|2|0|2
100mang|Man-God|FALSE|0|4|4|0|0|0|0
800sen|Sensei's Friends|FALSE|0|4|0|0|0|4|0
900who|Who Am I|FALSE|0|4|0|2|2|0|0
100far|Farewell to Man|FALSE|0|4|4|0|0|0|0
800fin|The Final Lesson|FALSE|0|4|0|0|0|4|0
