Phone Event Id|Receive Date|Hangout Date|Initiating Social Link|Status
PHE-20110424D12|2011-04-23|2011-04-24|SL12|Unaccepted
PHE-20110424D13|2011-04-23|2011-04-24|SL13|Unaccepted
PHE-20110504D02|2011-05-03|2011-05-04|SL02|Unaccepted
PHE-20110508D08|2011-05-07|2011-05-08|SL08|Unaccepted
PHE-20110529D12|2011-05-28|2011-05-29|SL12|Unaccepted
PHE-20110529D13|2011-05-28|2011-05-29|SL13|Unaccepted
PHE-20110612D03|2011-06-11|2011-06-12|SL03|Unaccepted
PHE-20110703D21|2011-07-03|2011-07-03|SL21|Unaccepted
PHE-20110703D22|2011-07-03|2011-07-03|SL22|Unaccepted
PHE-20110717D12|2011-07-15|2011-07-17|SL12|Unaccepted
PHE-20110717D13|2011-07-15|2011-07-17|SL13|Unaccepted
PHE-20110808D20|2011-08-03|2011-08-08|SL20|Unaccepted
PHE-20110805D14|2011-08-05|2011-08-05|SL14|Unaccepted
PHE-20110810D12|2011-08-10|2011-08-10|SL12|Unaccepted
PHE-20110810D13|2011-08-10|2011-08-10|SL13|Unaccepted
PHE-20110821D20|2011-08-20|2011-08-21|SL20|Unaccepted
PHE-20110821D21|2011-08-20|2011-08-21|SL21|Unaccepted
PHE-20110821D22|2011-08-20|2011-08-21|SL22|Unaccepted
PHE-20110826D08|2011-08-26|2011-08-26|SL08|Unaccepted
PHE-20110828D07|2011-08-28|2011-08-28|SL07|Unaccepted
PHE-20110904D03|2011-09-04|2011-09-04|SL03|Unaccepted
PHE-20111002D08|2011-10-01|2011-10-02|SL08|Unaccepted
PHE-20111016D02|2011-10-15|2011-10-16|SL02|Unaccepted
PHE-20111023D08|2011-10-23|2011-10-23|SL08|Unaccepted
PHE-20111023D07|2011-10-23|2011-10-23|SL07|Unaccepted
PHE-20111123D02|2011-11-22|2011-11-23|SL02|Unaccepted
