Phone Event Id|Social Link Id|Rank
PHE-20110529D12|SL12|1
PHE-20110529D12|SL12|2
PHE-20110529D12|SL12|3
PHE-20110529D12|SL12|4
PHE-20110529D13|SL13|1
PHE-20110529D13|SL13|2
PHE-20110529D13|SL13|3
PHE-20110529D13|SL13|4
PHE-20110821D20|SL20|3
PHE-20110821D20|SL20|4
PHE-20110821D20|SL20|5
PHE-20110821D20|SL20|6
PHE-20110821D20|SL20|7
PHE-20110821D20|SL20|8
PHE-20110821D20|SL20|9
PHE-20110821D20|SL20|10
PHE-20110821D21|SL21|1
PHE-20110821D21|SL21|2
PHE-20110821D21|SL21|10
PHE-20110821D22|SL22|3
PHE-20110821D22|SL22|4
PHE-20110821D22|SL22|5
PHE-20110821D22|SL22|6
PHE-20110821D22|SL22|7
PHE-20110821D22|SL22|8
PHE-20110821D22|SL22|9
PHE-20110821D22|SL22|10
