Prompt Answer Id|Prompt Id|Answer|Courage Modifier|Diligence Modifier|Knowledge Modifier|Understanding Modifier|Expression Modifier|Courage Rank Requirement|Diligence Rank Requirement|Knowledge Rank Requirement|Understanding Rank Requirement|Expression Rank Requirement
A1-02S0101FR|FR-02S0101|"It has to be us."|0|0|0|0|0|0|0|0|0|0
A2-02S0101FR|FR-02S0101|"I want to keep my word too."|0|0|0|0|0|0|0|0|0|0
A3-02S0101FR|FR-02S0101|"Let's bring an end to this."|0|0|0|0|0|0|0|0|0|0
A4-02S0101FR|FR-02S0101|"You do it."|0|0|0|0|0|0|0|0|0|0
A1-02S0201FR|FR-02S0201|"It must be tough."|0|0|0|0|0|0|0|0|0|0
A2-02S0201FR|FR-02S0201|"You're bragging about it?"|0|0|0|0|0|0|0|0|0|0
A3-02S0201FR|FR-02S0201|"Why are you infamous?"|0|0|0|0|0|0|0|0|0|0
A1-02S0301FR|FR-02S0301|"He's sounding like you too."|0|0|0|0|0|0|0|0|0|0
A2-02S0301FR|FR-02S0301|"Teddie's cute."|0|0|0|0|0|0|0|0|0|0
A3-02S0301FR|FR-02S0301|"Hmm, you're looking hairier."|0|0|0|0|0|0|0|0|0|0
A1-02S0302FR|FR-02S0302|"You don't block them?"|0|0|0|0|0|0|0|0|0|0
A2-02S0302FR|FR-02S0302|"Why not change addresses?"|0|0|0|0|0|0|0|0|0|0
A3-02S0302FR|FR-02S0302|"Eh, what can you do."|0|0|0|0|0|0|0|0|0|0
A1-02S0401FR|FR-02S0401|"That must be hard."|0|0|0|0|0|0|0|0|0|0
A2-02S0401FR|FR-02S0401|"Don't strain yourself."|0|0|0|0|0|0|0|0|0|0
A3-02S0401FR|FR-02S0401|"You're incredible."|0|0|0|0|0|0|0|0|0|0
A1-02S0402FR|FR-02S0402|"That's the spirit!"|0|0|0|0|0|0|0|0|0|0
A2-02S0402FR|FR-02S0402|"Don't get too excited."|0|0|0|0|0|0|0|0|0|0
A3-02S0402FR|FR-02S0402|"What can you do…?"|0|0|0|0|0|0|0|0|0|0
A1-02S0501FR|FR-02S0501|"Of course."|0|0|0|0|0|0|0|0|0|0
A2-02S0501FR|FR-02S0501|"Huh?"|0|0|0|0|0|0|0|0|0|0
A3-02S0501FR|FR-02S0501|"What, don't you?"|0|0|0|0|0|0|0|0|0|0
A1-02S0502FR|FR-02S0502|"I have."|0|0|0|0|0|0|0|0|0|0
A2-02S0502FR|FR-02S0502|"I haven't."|0|0|0|0|0|0|0|0|0|0
A3-02S0502FR|FR-02S0502|"I will soon."|0|0|0|0|0|0|0|0|0|0
A1-02S0601FR|FR-02S0601|"No problem."|0|0|0|0|0|0|0|0|0|0
A2-02S0601FR|FR-02S0601|"Tell me nest time!"|0|0|0|0|0|0|0|0|0|0
A3-02S0601FR|FR-02S0601|"It was fun."|0|0|0|0|0|0|0|0|0|0
A1-02S0602FR|FR-02S0602|"You're right."|0|0|0|0|0|0|0|0|0|0
A2-02S0602FR|FR-02S0602|"Man, you're mature."|0|0|0|0|0|0|0|0|0|0
A3-02S0602FR|FR-02S0602|"No need to hold back."|0|0|0|0|0|0|0|0|0|0
A1-02S0701FR|FR-02S0701|"Shut up!"|0|0|0|0|0|0|0|0|0|0
A2-02S0701FR|FR-02S0701|"Calm down, man…"|0|0|0|0|0|0|0|0|3|0
A3-02S0701FR|FR-02S0701|"I feel bad for Saki-senpai."|0|0|0|0|0|0|0|0|0|3
A1-02S0702FR|FR-02S0702|"You were just upset."|0|0|0|0|0|0|0|0|0|0
A2-02S0702FR|FR-02S0702|"Feel better now?"|0|0|0|0|0|0|0|0|0|0
A3-02S0702FR|FR-02S0702|"I know how it is."|0|0|0|0|0|0|0|0|0|0
A1-02S0801FR|FR-02S0801|"She dumped you?"|0|0|0|0|0|0|0|0|0|0
A2-02S0801FR|FR-02S0801|"She died?"|0|0|0|0|0|0|0|0|0|0
A1-02S0802FR|FR-02S0802|"Just take it slow."|0|0|0|0|0|0|0|0|0|0
A2-02S0802FR|FR-02S0802|"I understand…"|0|0|0|0|0|0|0|0|0|0
A3-02S0802FR|FR-02S0802|"Don't apologize."|0|0|0|0|0|0|0|0|0|0
A1-02S0803FR|FR-02S0803|Pat his head|0|0|0|0|0|0|0|0|0|0
A2-02S0803FR|FR-02S0803|Hug him|0|0|0|0|0|0|0|0|0|0
A3-02S0803FR|FR-02S0803|Leave him be|0|0|0|0|0|0|0|0|0|0
A1-02S0901FR|FR-02S0901|"Cheer up."|0|0|0|0|0|0|0|0|0|0
A2-02S0901FR|FR-02S0901|"Still sad about Saki-senpai?"|0|0|0|0|0|0|0|0|0|0
A3-02S0901FR|FR-02S0901|"Be a man. Stand up straight."|0|0|0|0|0|0|0|0|0|0
A1-02S0902FR|FR-02S0902|"You're right."|0|0|0|0|0|0|0|0|0|0
A2-02S0902FR|FR-02S0902|"That's not true."|0|0|0|0|0|0|0|0|0|0
A3-02S0902FR|FR-02S0902|"I don't get it."|0|0|0|0|0|0|0|0|0|0
A1-02S1001FR|FR-02S1001|"I didn't know."|0|0|0|0|0|0|0|0|0|0
A2-02S1001FR|FR-02S1001|"It can't be helped."|0|0|0|0|0|0|0|0|0|0
A3-02S1001FR|FR-02S1001|"'I guess'?"|0|0|0|0|0|0|0|0|0|0
A1-02S1002FR|FR-02S1002|"Hitting you won't do that."|0|0|0|0|0|0|0|0|0|0
A2-02S1002FR|FR-02S1002|"Then let's get equal!"|0|0|0|0|0|0|0|0|0|0
A1-03S0101FR|FR-03S0101|"I'm sure of it."|0|0|0|0|0|0|0|0|0|0
A2-03S0101FR|FR-03S0101|"I doubt it."|0|0|0|0|0|0|0|0|0|0
A3-03S0101FR|FR-03S0101|"No worries, I'll protect you."|0|0|0|0|0|3|0|0|0|0
A1-03S0102FR|FR-03S0102|Ask her straight out|0|0|0|0|0|5|0|0|0|0
A2-03S0102FR|FR-03S0102|Say it's for the investigation|0|0|0|0|0|0|0|0|0|0
A1-03S0201FR|FR-03S0201|"Going to apply for one?"|0|0|0|0|0|0|0|0|0|0
A2-03S0201FR|FR-03S0201|"Sensei?"|0|0|0|0|0|0|0|0|0|0
A1-03S0202FR|FR-03S0202|"Sounds good."|0|0|0|0|0|0|0|0|0|0
A2-03S0202FR|FR-03S0202|"What's that?"|0|0|0|0|0|0|0|0|0|0
A3-03S0202FR|FR-03S0202|"You decide."|0|0|0|0|0|0|0|0|0|0
A1-03S0301FR|FR-03S0301|"Making dinner at the inn?"|0|0|0|0|0|0|0|0|0|0
A2-03S0301FR|FR-03S0301|"On an errand?"|0|0|0|0|0|0|0|0|0|0
A1-03S0302FR|FR-03S0302|"Good luck."|0|0|0|0|0|0|0|0|0|0
A2-03S0302FR|FR-03S0302|"There’s no point."|0|0|0|0|0|0|0|0|0|0
A3-03S0302FR|FR-03S0302|"Any other skills?"|0|0|0|0|0|0|0|0|0|0
A1-03S0303FR|FR-03S0303|"Count me in!"|0|0|0|0|0|4|0|0|0|0
A2-03S0303FR|FR-03S0303|"I don’t mind."|0|0|0|0|0|0|0|0|0|0
A3-03S0303FR|FR-03S0303|"I dunno…"|0|0|0|0|0|0|0|0|0|0
A1-03S0401FR|FR-03S0401|"Let’s eat!"|0|0|0|0|0|3|0|0|0|0
A2-03S0401FR|FR-03S0401|"My stomach’s kinda…"|0|0|0|0|0|0|0|0|0|0
A3-03S0401FR|FR-03S0401|"Did you taste it?"|0|0|0|0|0|0|0|0|0|0
A1-03S0402FR|FR-03S0402|"There’s always next time."|0|0|0|0|0|0|0|0|0|0
A2-03S0402FR|FR-03S0402|"This won’t cut it."|0|0|0|0|0|0|0|0|0|0
A3-03S0402FR|FR-03S0402|"...Can I toss this?"|0|0|0|0|0|0|0|0|0|0
A1-03S0403FR|FR-03S0403|"It’s okay."|0|0|0|0|0|0|0|0|0|0
A2-03S0403FR|FR-03S0403|"I’m having fun."|0|0|0|0|0|0|0|0|0|0
A3-03S0403FR|FR-03S0403|"Just don’t feed me again."|0|0|0|0|0|0|0|0|0|0
A1-03S0501FR|FR-03S0501|"What’s all this for?"|0|0|0|0|0|0|0|0|0|0
A2-03S0501FR|FR-03S0501|"Can you carry all that?"|0|0|0|0|0|0|0|0|0|0
A1-03S0502FR|FR-03S0502|"Sounds good to me."|0|0|0|0|0|0|0|0|0|0
A2-03S0502FR|FR-03S0502|"You said no?"|0|0|0|0|0|0|0|0|0|0
A1-03S0503FR|FR-03S0503|"Are you serious?"|0|0|0|0|0|0|0|0|0|0
A2-03S0503FR|FR-03S0503|"That’s selfish."|0|0|0|0|0|0|0|0|0|0
A1-03S0601FR|FR-03S0601|"What are you making?"|0|0|0|0|0|0|0|0|0|0
