Prompt Answer Id|Arcana Number|Points Gained
A1-02S0201FR|I|3
A3-02S0301FR|I|3
A3-02S0401FR|I|3
A1-02S0402FR|I|3
A1-02S0501FR|I|3
A3-02S0502FR|I|3
A1-02S0601FR|I|3
A3-02S0601FR|I|3
A2-02S0602FR|I|3
A1-02S0702FR|I|3
A2-02S0702FR|I|3
A3-02S0702FR|I|3
A1-02S0901FR|I|3
A1-03S0201FR|II|2
A2-03S0201FR|II|2
A1-03S0202FR|II|3
A1-03S0301FR|II|3
A1-03S0301FR|II|3
A1-03S0301FR|II|3
A1-03S0302FR|II|3
A1-03S0303FR|II|3
A2-03S0303FR|II|2
A1-03S0401FR|II|3
A2-03S0401FR|II|2
A3-03S0401FR|II|2
A1-03S0402FR|II|3
A2-03S0403FR|II|3
A1-03S0501FR|II|3
A2-03S0601FR|II|2
A2-03S0602FR|II|3
A3-03S0603FR|II|3
A2-03S0702FR|II|3
A3-03S0901FR|II|3
A2-05S0201FR|IV|3
A1-05S0401FR|IV|3
A2-05S0402FR|IV|3
A3-05S0403FR|IV|3
A1-05S0502FR|IV|3
A3-05S0701FR|IV|3
A2-05S0801FR|IV|3
A3-05S0801FR|IV|3
A1-05S0803FR|IV|3
A3-05S0803FR|IV|3
A3-05S0901FR|IV|3
A1-05S0902FR|IV|3
A3-06S0201FR|V|3
A3-06S0202FR|V|3
A1-06S0203FR|V|3
A2-06S0302FR|V|3
A3-06S0302FR|V|3
A2-06S0401FR|V|3
A4-06S0401FR|V|3
A1-06S0402FR|V|3
A2-06S0501FR|V|3
A1-06S0502FR|V|3
A3-06S0502FR|V|3
A3-06S0601FR|V|3
A2-06S0701FR|V|2
A3-06S0801FR|V|3
A1-06S0802FR|V|2
A2-06S0802FR|V|2
A3-06S0802FR|V|3
A2-06S0901FR|V|3
A1-06S0902FR|V|3
A3-07S0201FR|VI|3
A3-07S0301FR|VI|3
A3-07S0401FR|VI|3
A1-07S0402FR|VI|3
A1-07S0403FR|VI|3
A1-07S0501FR|VI|3
A3-07S0502FR|VI|3
A1-07S0603FR|VI|3
A3-07S0603FR|VI|3
A2-07S0604FR|VI|3
A3-07S0702FR|VI|3
A1-07S0703FR|VI|3
A2-07S0703FR|VI|3
A3-07S0703FR|VI|3
A3-07S0901FR|VI|3
A1-08S0201FR|VII|3
A1-08S0202FR|VII|3
A1-08S0301FR|VII|3
A2-08S0301FR|VII|3
A2-08S0401FR|VII|2
A3-08S0401FR|VII|3
A1-08S0402FR|VII|3
A3-08S0402FR|VII|3
A2-08S0501FR|VII|3
A3-08S0501FR|VII|3
A1-08S0502FR|VII|3
A1-08S0601FR|VII|3
A1-08S0602FR|VII|3
A1-08S0702FR|VII|2
A2-08S0801FR|VII|3
A2-08S0902FR|VII|3
A2-09S0201FR|VIII|3
A1-09S0202FR|VIII|3
A3-09S0203FR|VIII|3
A2-09S0301FR|VIII|3
A3-09S0302FR|VIII|3
A2-09S0401FR|VIII|3
A2-09S0402FR|VIII|3
A3-09S0403FR|VIII|2
A3-09S0404FR|VIII|3
A2-09S0501FR|VIII|3
A1-09S0502FR|VIII|3
A1-09S0503FR|VIII|3
A3-09S0503FR|VIII|3
A2-09S0601FR|VIII|2
A3-09S0602FR|VIII|3
A1-09S0701FR|V|3
A2-09S0703FR|VIII|3
A1-09S0801FR|VIII|3
A1-09S0802FR|VIII|3
A2-09S0802FR|VIII|3
A2-09S0901FR|VIII|3
A1-09S0902FR|VIII|3
A2-09S0902FR|VIII|3
A3-09S0902FR|VIII|3
A1-09S0903FR|VIII|3
A3-09S0903FR|VIII|3
A3-11S0201FR|X|3
A1-11S0203FR|X|3
A3-11S0203FR|X|3
A1-11S0301FR|X|3
A3-11S0401FR|X|3
A2-11S0403FR|X|3
A2-11S0501FR|X|3
A2-11S0502FR|X|3
A2-11S0503FR|X|2
A2-11S0504FR|X|3
A1-11S0601FR|X|2
A3-11S0601FR|X|2
A3-11S0602FR|X|3
A2-11S0603FR|X|3
A3-11S0701FR|X|3
A3-11S0702FR|X|3
A3-11S0801FR|X|3
A2-11S0901FR|X|3
A3-11S0902FR|X|3
A1-12S0201FR|XI|3
A1-12S0202FR|XI|3
A1-12S0203FR|XI|2
A2-12S0301FR|XI|3
A3-12S0302FR|XI|2
A2-12S0303FR|XI|3
A2-12S0401FR|XI|2
A1-12S0402FR|XI|2
A2-12S0501FR|XI|3
A3-12S0502FR|XI|3
A1-12S0602FR|XI|3
A3-12S0603FR|XI|3
A1-13S0202FR|XI|2
A1-13S0401FR|XI|2
A2-13S0501FR|XI|3
A1-13S0601FR|XI|2
A2-13S0601FR|XI|3
A1-13S0702FR|XI|3
A1-13S0703FR|XI|3
A1-13S0704FR|XI|3
A1-13S0801FR|XI|3
A1-13S0803FR|XI|3
A1-13S0901FR|XI|3
A3-13S0901FR|XI|3
A2-14S0201FR|XII|3
A2-14S0202FR|XII|3
A4-14S0202FR|XII|3
A2-14S0301FR|XII|3
A1-14S0302FR|XII|3
A3-14S0302FR|XII|3
A1-14S0401FR|XII|3
A2-14S0401FR|XII|3
A1-14S0402FR|XII|3
A1-14S0501FR|XII|3
A2-14S0602FR|XII|3
A1-14S0701FR|XII|3
A2-14S0702FR|XII|3
A2-14S0802FR|XII|3
A2-14S0901FR|XII|3
A2-14S0903FR|XII|3
A3-14S0903FR|XII|3
A3-16S0201FR|XIV|3
A1-16S0402FR|XIV|3
A3-16S0403FR|XIV|2
A1-16S0604FR|XIV|3
A3-16S0703FR|XIV|3
A2-16S0704FR|XIV|3
A1-16S0903FR|XIV|3
A2-16S0903FR|XIV|3
A1-16S0904FR|XIV|3
A2-16S0904FR|XIV|3
A1-17S0201FR|XV|2
A2-17S0201FR|XV|2
A1-17S0301FR|XV|3
A1-17S0302FR|XV|2
A3-17S0302FR|XV|2
A3-17S0303FR|XV|3
A2-17S0403FR|XV|2
A2-17S0501FR|XV|2
A1-17S0503FR|XV|3
A2-17S0503FR|XV|2
A2-17S0701FR|XV|3
A1-18S0202FR|XVI|2
A2-18S0203FR|XVI|2
A3-18S0301FR|XVI|3
A2-18S0302FR|XVI|3
A1-18S0401FR|XVI|2
A3-18S0402FR|XVI|3
A2-18S0501FR|XVI|2
A3-18S0502FR|XVI|3
A2-18S0503FR|XVI|2
A3-18S0603FR|XVI|3
A3-18S0702FR|XVI|3
A3-18S0801FR|XVI|3
A1-18S0803FR|XVI|2
A2-18S0803FR|XVI|3
A2-20S0201FR|XVIII|3
A2-20S0202FR|XVIII|3
A1-20S0301FR|XVIII|2
A2-20S0301FR|XVIII|3
A2-20S0302FR|XVIII|3
A1-20S0401FR|XI|3
A1-20S0402FR|XVIII|3
A2-20S0502FR|XVIII|3
A4-20S0502FR|XVIII|3
A1-20S0701LV|XVIII|3
A1-20S0702LV|XVIII|3
A2-20S0702LV|XVIII|3
A1-20S0801LV|XVIII|3
A2-20S0801LV|XVIII|3
A1-20S0701FR|XVIII|3
A1-20S0702FR|XVIII|3
A1-20S0703FR|XVIII|3
A1-20S0801FR|XVIII|3
A1-20S0802FR|XVIII|3
A1-20S0904FR|XVIII|3
A2-20S0904FR|XVIII|3
A1-21S0203FR|XIX|3
A2-21S0401FR|XIX|3
A3-21S0401FR|XIX|3
A1-21S0402FR|XIX|3
A3-21S0402FR|XIX|3
A2-21S0403FR|XIX|3
A2-21S0501FR|XIX|3
A3-21S0503FR|XIX|2
A1-21S0504FR|XIX|3
A3-21S0601FR|XIX|2
A2-21S0701FR|XIX|3
A1-21S0801FR|XIX|3
A2-21S0801FR|XIX|3
A1-21S0903FR|XIX|2
A3-21S0903FR|XIX|2
A1-22S0201FR|XIX|2
A2-22S0201FR|XIX|3
A1-22S0202FR|XIX|3
A2-22S0301FR|XIX|3
A1-22S0303FR|XIX|2
A3-22S0401FR|XIX|3
A2-22S0402FR|XIX|3
A3-22S0402FR|XIX|3
A2-22S0403FR|XIX|3
A3-22S0403FR|XIX|2
A1-22S0502FR|XIX|3
A3-22S0502FR|XIX|3
A3-22S0702FR|XIX|3
A1-20110617D01ST|II|3
A1-20110617D01ST|VII|3
A3-20110622D01ST|I|3
A3-20210723D02ST|VIII|3
A1-20110820D01ST|VIII|3
A1-20210723D02ST|VI|3
A2-20210723D02ST|VII|3
A3-20210723D02ST|II|3
A1-20110909D01ST|VI|3
A2-20110909D01ST|VII|3
A3-20110909D01ST|II|3
A4-20110909D01ST|I|3
A3-20110910D01ST|VIII|3
A3-20210910D02ST|VIII|3
A2-05D01DN|VIII|3
