Quest Number|Item
01|Chest Key x3
02|Dokudamai Tea x3
03|Goho-M
04|Olympic Tape
05|4000 Yen
07|Royal Jelly x5
10|Pulsating Stone x2
11|15000 Yen
12|Snuff Soul x2
15|Ointment x3
16|18000 Yen
17|Goho-m x5
18|Value Medicine x3
19|Uplifting Radio x2
21|Chest Key x5
22|5000 Yen
23|Chest Key x3
24|30000 Yen
25|Antibiotic Gel
27|10000 Yen
28|Macca Leaf x3
29|Dokudami Tea x5
30|Unfinished Model*
31|Mystical Scarab x2
32|35000 Yen
33|40000 Yen
35|Bead
37|Physical Mirror x3
38|Bead Chain
40|Super Sonic x3
43|Mokoi Doll
44|Assault Signal x3
45|Spirit Radio
46|45000 Yen
47|Snuff Soul
49|Soma
50|Chewing Soul
