Quest Number|Step|Instructions
01|1|Talk to the Timid Female Student beside the save point in Classroom 2-2.
01|2|Battle the Avenger Knights in Yukiko’s Castle (6F – 7F) until the Knights drop a Angel Statue.
01|3|Return to the quest giver, Timid Female Student.
02|1|Exit the Classroom 2-2 and go across the hallway to find Shady Student standing in front of the washrooms.
02|2|Battle the Magical Magus in Yukiko’s Castle (6F – 7F) until the Magi drop a Demon Statue.
02|3|Return to the quest giver, Shady Student.
03|1|Talk to Male Student in Classroom 2-2 by the desk.
03|2|Go to the roof and talk to the girl there and wait until the next day.
03|3|Go to the roof and talk to the girl there again and wait another day.
03|4|Go to the roof a final time and talk to the girl.
03|5|Return to the quest giver.
04|1|Talk to the Male Student in Practice Building (1F) near the washrooms.
04|2|Battle the Heat Balances in Yukiko’s Castle (6F – 7F) until the Balances drop a Ritz Wire.
04|3|Return to the quest giver.
05|1|Talk to the Man on the far left side of Samegawa Flood Plain.
05|2|Talk to Yosuke in the TV World to return to Twisted Shopping Center.
05|3|Examine the barrels to receive the wine.
05|4|Return to the quest giver.
06|1|Go to the Shrine and accept the ema request.
06|2|Go to the school and talk to the only girl standing in front of the shoe lockers and wait a day.
06|3|Talk to the girl just outside of Classroom 2-2 and select the first option when prompted then wait another day.
06|4|Talk to the girl just outside of Classroom 2-2 again.
06|5|Return to the Shrine.
07|1|Go to Practice Building 2F and talk to Homely Student near the emergency exit.
07|2|Battle the Laughing Tables in Yukiko’s Castle (6F – 7F) until they drop a Fitting Board.
07|3|Return to the quest giver, Homely Student.
08|1|Go to the Shopping District South and talk to the man in front of the bookstore.
08|2|Farm for a Peach Seed from chests in Yukiko’s Castle if it is not already in inventory.
08|3|Return to the quest giver to give him a Peach Seed.
09|1|Go to the Samegawa Flood Plain and talk to the old woman past the stairs.
09|2|Battle Bribed Fuzz in Steamy Bathhouse (1F – 2F) until the Fuzz drop an Old Key.
09|3|Return to the quest giver.
10|1|Go to Classroom Building 2F and find Ms. Sofue on the other end of the hallway near the stairs.
10|2|Battle Trance Twins in Yukiko’s Castle (3F – 5F) until the Trance Twins drop a Suspicious Pole.
10|3|Return to quest giver, Ms. Sofue.
11|1|Go to the North Shopping District and talk to the loud old man in front of the Shrine.
11|2|Battle Selfish Basalts in Steamy Bathhouse (7F – 8F) until the Basalts drop Coal.
11|3|Return to quest giver, Loud Old Man.
12|1|Go to Practice Building 2F and talk to Homely Student near the emergency exit again.
12|2|Battle the Crying Tables in Steam Bathhouse (9F – 10F) until the Tables drop a Reflecting Board.
