Social Link Id|Arcana Number|Name
SL01|Nulla|Investigation Team
SL02|I|Yosuke Hanamura
SL03|II|Yukiko Amagi
SL04|III|Margaret
SL05|IV|Kanji Tatsumi
SL06|V|Ryotaro Dojima
SL07|VI|Rise Kujikawa
SL08|VII|Chie Satonaka
SL09|VIII|Nanako Dojima
SL10|VIX|Fox
SL11|X|Naoto Shirogane
SL12|XI|Kou Ichijo
SL13|XI|Daisuke Nagase
SL14|XII|Naoki Konishi
SL15|XIII|Hisano Kuroda
SL16|XIV|Eri Minami
SL17|XV|Sayoko Uehara
SL18|XVI|Shu Nakajima
SL19|XVII|Teddie
SL20|XVIII|Ai Ebihara
SL21|XIX|Yumi Ozawa
SL22|XIX|Ayane Matsunaga
SL23|XX|Seekers of Truth
