Date|Offer|Price
2011-05-22|Adios Shoes, Slimming Food x2|¥5,980
2011-05-22|Medical Kit, Medicine x4|¥2,980
2011-05-29|Steel Panier, Slimming Food x2|¥11,800
2011-05-29|Ball Lightning, Chest Key x2|¥4,980
2011-06-05|Jingi Fundoshi, Slimming Food x2|¥11,800
2011-06-05|Inaba Trout, Amber Seema x2|¥2,980
2011-06-12|Fire Suppressor, Herbal Pill x2|¥4,980
2011-06-12|Balm of Life, Curse Paper x4|¥2,980
2011-06-19|Power Belt, Herbal Pill x2|¥4,980
2011-06-19|Huge Fish, Ice Cube x4|¥9,800
2011-06-26|Myth-like Sword, Herbal Pill x2|¥9,800
2011-06-26|Purifying Salts x2, Segaki Rice x2|¥3,980
2011-07-03|Armada Bustier, Giant Candy x2|¥20,800
2011-07-03|Peach Seed x30, Soul Drop x10|¥2,980
2011-07-17|Purple Suit, Giant Cnady x2|¥20,800
2011-07-17|Diamond Shield x2, Heavy Soup x6|¥8,800
2011-07-24|Kitchen Knife, Giant Candy x2|¥11,800
2011-07-24|Second Maid x24, Dr Salt NEO x24|¥7,800
2011-07-31|Maneki Neko, Giant Candy x2|¥7,980
2011-07-31|Smart Bomb x2, Super Sonic x2|¥6,980
2011-08-07|Paladin Armor, Longevity Pill x2|¥20,800
2011-08-07|Kitchen Knife, Myth-like Sword|¥12,800
2011-08-14|Wooden Bat, Longevity Pill x2|¥14,400
2011-08-14|Segaki Rice x6, Purifying Salts x4|¥8,800
2011-08-28|Thief Knife, Longevity Pill x2|¥20,800
2011-08-28|Hell Magatama x2, Arc Magatama x2|¥12,800
2011-09-04|Charm Drape, Heavy Soup x2|¥21,800
2011-09-04|Chest Key x2, Prize Sticker x5|¥6,800
2011-09-11|Fuuma Bundou, Heavy Soup x2|¥27,800
2011-09-11|Inaba Trout x4, Dry Ice x2|¥6,980
2011-09-18|Reprisal Chain, Heavy Soup x2|¥21,800
2011-09-18|Soma, Purifying Water x2|¥14,800
2011-09-25|Death Scudetto, Wasabi Jelly x2|¥28,800
2011-09-25|Diet Food x8, Odd Morsel x8|¥5,980
2011-10-02|Peach Battlesuit, Wasabi Jelly x2|¥29,800
2011-10-02|Red Goldfish x10, Bait x10|¥9,800
2011-10-09|Nice Shoes, Wasabi Jelly x2|¥28,800
2011-10-09|Huge Fish x2, Dry Ice x4|¥19,800
2011-10-16|Red Battlesuit, Diet Food x2|¥29,800
2011-10-16|Physical Mirror x3, Magic Mirror x3|¥19,800
2011-10-23|Pure Assassin, Diet Food x2|¥29,800
2011-10-23|Chest Key x2, Prize Sticker x5|¥6,800
2011-11-13|Reisen Brace, Diet Food x2|¥19,800
2011-11-13|Nice Shoes Red Battlesuit|¥19,800
2011-11-20|Angel Skirt, Diet Food x2|¥59,800
2011-11-20|Soma, Amrita Soda|¥19,800
