Date|Prompt Id|Answer Id
2011-04-14|LEP01|LEA01
2011-04-18|LEP02|LEA02
2011-04-20|LEP03|LEA03
2011-04-23|LEP04|LEA04
2011-04-25|LEP05|LEA05
2011-04-26|LEP06|LEA06
2011-04-30|LEP07|LEA07
2011-05-07|LEP08|LEA08
2011-05-09|LEP09|LEA09
2011-05-09|LEP10|LEA10
2011-05-10|LEP11|LEA11
2011-05-10|LEP12|LEA12
2011-05-11|LEP13|LEA13
2011-05-11|LEP14|LEA14
2011-05-26|LEP15|LEA15
2011-06-08|LEP16|LEA16
2011-06-13|LEP17|LEA17
2011-06-15|LEP18|LEA18
2011-06-20|LEP19|LEA19
2011-06-27|LEP20|LEA20
2011-06-30|LEP21|LEA21
2011-07-04|LEP22|LEA22
2011-07-07|LEP23|LEA23
2011-07-13|LEP24|LEA24
2011-07-14|LEP25|LEA25
2011-07-15|LEP26|LEA26
2011-07-16|LEP27|LEA27
2011-07-19|LEP28|LEA28
2011-07-19|LEP29|LEA29
2011-07-20|LEP30|LEA30
2011-07-20|LEP31|LEA31
2011-07-21|LEP32|LEA32
2011-07-21|LEP33|LEA33
2011-07-22|LEP34|LEA34
2011-07-22|LEP35|LEA35
2011-09-01|LEP36|LEA36
2011-09-05|LEP37|LEA37
2011-09-17|LEP38|LEA38
2011-09-20|LEP39|LEA39
2011-09-28|LEP40|LEA40
2011-10-04|LEP41|LEA41
2011-10-05|LEP42|LEA42
2011-10-08|LEP43|LEA43
2011-10-11|LEP44|LEA44
2011-10-12|LEP45|LEA45
2011-10-13|LEP46|LEA46
2011-10-14|LEP47|LEA47
2011-10-14|LEP48|LEA48
2011-10-15|LEP49|LEA49
2011-10-15|LEP50|LEA50
2011-10-17|LEP51|LEA51
2011-10-17|LEP52|LEA52
2011-10-18|LEP53|LEA53
2011-10-18|LEP54|LEA54
2011-10-19|LEP55|LEA55
2011-10-19|LEP56|LEA56
2011-11-01|LEP57|LEA57
2011-11-04|LEP58|LEA58
2011-11-07|LEP59|LEA59
2011-11-11|LEP60|LEA60
2011-11-17|LEP61|LEA61
2011-11-22|LEP62|LEA62
2011-11-24|LEP63|LEA63
2011-11-25|LEP64|LEA64
2011-11-26|LEP65|LEA65
2011-11-28|LEP66|LEA66
2011-11-28|LEP67|LEA67
2011-11-29|LEP68|LEA68
2011-11-29|LEP69|LEA69
2011-11-30|LEP70|LEA70
2011-11-30|LEP71|LEA71
2011-12-01|LEP72|LEA72
2011-12-01|LEP73|LEA73
2011-12-02|LEP74|LEA74
2011-12-02|LEP75|LEA75
2011-12-09|LEP76|LEA76
2011-12-10|LEP77|LEA77
2011-12-17|LEP78|LEA78
