Id+AHw-Arcana Id+AHw-Name+AHw-Is Lover
SL01+AHw-0+AHw-Investigation Team+AHw-FALSE
SL02+AHw-1+AHw-Yosuke Hanamura+AHw-FALSE
SL03+AHw-2+AHw-Yukiko Amagi+AHw-FALSE
SL04+AHw-3+AHw-Margaret+AHw-FALSE
SL05+AHw-4+AHw-Kanji Tatsumi+AHw-FALSE
SL06+AHw-5+AHw-Ryotaro Dojima+AHw-FALSE
SL07+AHw-6+AHw-Rise Kujikawa+AHw-FALSE
SL08+AHw-7+AHw-Chie Satonaka+AHw-FALSE
SL09+AHw-8+AHw-Nanako Dojima+AHw-FALSE
SL10+AHw-9+AHw-Fox+AHw-FALSE
SL11+AHw-10+AHw-Naoto Shirogane+AHw-FALSE
SL12+AHw-11+AHw-Kou Ichijo+AHw-FALSE
SL13+AHw-11+AHw-Daisuke Nagase+AHw-FALSE
SL14+AHw-12+AHw-Naoki Konishi+AHw-FALSE
SL15+AHw-13+AHw-Hisano Kuroda+AHw-FALSE
SL16+AHw-14+AHw-Eri Minami+AHw-FALSE
SL17+AHw-15+AHw-Sayoko Uehara+AHw-FALSE
SL18+AHw-16+AHw-Shu Nakajima+AHw-FALSE
SL19+AHw-17+AHw-Teddie+AHw-FALSE
SL20+AHw-18+AHw-Ai Ebihara+AHw-FALSE
SL21+AHw-19+AHw-Yumi Ozawa+AHw-FALSE
SL22+AHw-19+AHw-Ayane Matsunaga+AHw-FALSE
SL23+AHw-20+AHw-Seekers of Truth+AHw-FALSE
