Social Link Id|Rank|Prompt Id|Answer Id
SL02|1|SLP020101F|SLA02010100F
SL02|2|SLP020201F|SLA02020101F
SL02|3|SLP020301F|SLA02030103F
SL02|3|SLP020302F|SLA02030200F
SL02|4|SLP020401F|SLA02040103F
SL02|4|SLP020402F|SLA02040201F
SL02|5|SLP020501F|SLA02050101F
SL02|5|SLP020502F|SLA02050203F
SL02|6|SLP020601F|SLA02060101F
SL02|6|SLP020602F|SLA02060202F
SL02|7|SLP020701F|SLA02070100F
SL02|7|SLP020702F|SLA02070201F
SL02|8|SLP020801F|SLA02080100F
SL02|8|SLP020802F|SLA02080200F
SL02|8|SLP020803F|SLA02080300F
SL02|9|SLP020901F|SLA02090101F
SL02|9|SLP020902F|SLA02090201F
SL02|10|SLP021001F|SLA02100100F
SL02|10|SLP021002F|SLA02100200F
SL03|1|SLP030101F|SLA03010100F
SL03|1|SLP030102F|SLA03010200F
SL03|2|SLP030201F|SLA03020102F
SL03|2|SLP030202F|SLA03020201F
SL03|3|SLP030301F|SLA03030101F
SL03|3|SLP030302F|SLA03030201F
SL03|3|SLP030303F|SLA03030301F
SL03|3|SLP030303F|SLA03030302F
SL03|4|SLP030401F|SLA03040101F
SL03|4|SLP030401F|SLA03040100F
SL03|4|SLP030402F|SLA03040201F
SL03|4|SLP030403F|SLA03040302F
SL03|5|SLP030501F|SLA03050101F
SL03|5|SLP030502F|SLA03050200F
SL03|5|SLP030503F|SLA03050300F
SL03|6|SLP030601F|SLA03060102F
SL03|6|SLP030602F|SLA03060202F
SL03|6|SLP030603F|SLA03060303F
SL03|7|SLP030701F|SLA03070100F
SL03|7|SLP030702F|SLA03070202F
SL03|8|SLP030801F|SLA03080100F
SL03|8|SLP030802F|SLA03080202F
SL03|9|SLP030901F|SLA03090103F
SL03|9|SLP030902L|SLA03090203L
SL03|9|SLP030902F|SLA03090200F
SL03|10|SLP031001L|SLA03100100L
SL03|10|SLP031002L|SLA03100200L
SL03|10|SLP031003L|SLA03100300L
SL03|10|SLP031001F|SLA03100100F
SL03|10|SLP031002F|SLA03100200F
SL05|1|SLP050101F|SLA05010100F
SL05|1|SLP050102F|SLA05010200F
SL05|1|SLP050103F|SLA05010300F
SL05|2|SLP050201F|SLA05020102F
SL05|3|SLP050301F|SLA05030100F
SL05|3|SLP050302F|SLA05030200F
SL05|3|SLP050303F|SLA05030300F
SL05|4|SLP050401F|SLA05040101F
SL05|4|SLP050402F|SLA05040202F
SL05|4|SLP050403F|SLA05040302F
SL05|5|SLP050501F|SLA05050100F
SL05|5|SLP050502F|SLA05050201F
SL05|6|SLP050601F|SLA05060100F
SL05|7|SLP050701F|SLA05070103F
SL05|7|SLP050702F|SLA05070200F
SL05|8|SLP050801F|SLA05080102F
SL05|8|SLP050801F|SLA05080103F
SL05|8|SLP050802F|SLA05080200F
SL05|8|SLP050803F|SLA05080301F
SL05|8|SLP050803F|SLA05080303F
SL05|9|SLP050901F|SLA05090103F
SL05|9|SLP050902F|SLA05090201F
SL06|1|SLP060101F|SLA06010100F
SL06|1|SLP060102F|SLA06010200F
SL06|2|SLP060201F|SLA06020103F
SL06|2|SLP060202F|SLA06020203F
SL06|2|SLP060203F|SLA06020301F
SL06|3|SLP060301F|SLA06030100F
SL06|3|SLP060302F|SLA06030202F
SL06|4|SLP060401F|SLA06040104F
SL06|4|SLP060402F|SLA06040201F
SL06|5|SLP060501F|SLA06050102F
SL06|5|SLP060502F|SLA06050201F
SL06|6|SLP060601F|SLA06060103F
SL06|6|SLP060602F|SLA06060200F
SL06|7|SLP060701F|SLA06070102F
SL06|8|SLP060801F|SLA06080103F
SL06|8|SLP060802F|SLA06080203F
SL06|8|SLP060802F|SLA06080201F
SL06|9|SLP060901F|SLA06090102F
SL06|9|SLP060902F|SLA06090201F
SL06|10|SLP061001F|SLA06100101F
SL06|10|SLP061002F|SLA06100200F
SL07|1|SLP070101F|SLA07010100F
SL07|2|SLP070201F|SLA07020103F
SL07|3|SLP070301F|SLA07030103F
SL07|4|SLP070401F|SLA07040103F
SL07|4|SLP070402F|SLA07040201F
SL07|4|SLP070403F|SLA07040301F
SL07|5|SLP070501F|SLA07050101F
SL07|5|SLP070502F|SLA07050203F
SL07|6|SLP070601F|SLA07060100F
SL07|6|SLP070602F|SLA07060200F
SL07|6|SLP070603F|SLA07060303F
SL07|6|SLP070603F|SLA07060301F
SL07|6|SLP070604F|SLA07060402F
SL07|7|SLP070701F|SLA07070100F
SL07|7|SLP070702F|SLA07070203F
SL07|7|SLP070703F|SLA07070301F
SL07|7|SLP070703F|SLA07070303F
SL07|8|SLP070801F|SLA07080100F
SL07|8|SLP070802L|SLA07080201L
SL07|8|SLP070802F|SLA07080200F
SL07|9|SLP070901F|SLA07090103F
SL07|10|SLP071001L|SLA07100100L
SL08|1|SLP080101F|SLA08010100F
SL08|1|SLP080102F|SLA08010200F
SL08|1|SLP080103F|SLA08010300F
SL08|2|SLP080201F|SLA08020101F
SL08|2|SLP080202F|SLA08020201F
SL08|3|SLP080301F|SLA08030101F
SL08|3|SLP080301F|SLA08030102F
SL08|4|SLP080401F|SLA08040103F
SL08|4|SLP080401F|SLA08040102F
SL08|4|SLP080402F|SLA08040203F
SL08|4|SLP080402F|SLA08040201F
SL08|5|SLP080501F|SLA08050103F
SL08|5|SLP080502F|SLA08050201F
SL08|6|SLP080601F|SLA08060101F
SL08|6|SLP080602F|SLA08060201F
SL08|7|SLP080701F|SLA08070100F
SL08|7|SLP080702F|SLA08070201F
SL08|8|SLP080801F|SLA08080102F
SL08|9|SLP080901F|SLA08090100F
SL08|9|SLP080902F|SLA08090202F
SL08|9|SLP080903L|SLA08090301L
SL08|9|SLP080903F|SLA08090300F
SL08|10|SLP081001L|SLA08100102L
SL08|10|SLP081002L|SLA08100201L
SL08|10|SLP081003L|SLA08100300L
SL08|10|SLP081004L|SLA08100400L
SL08|10|SLP081001F|SLA08100100F
SL09|1|SLP090101F|SLA09010100F
SL09|2|SLP090201F|SLA09020102F
SL09|2|SLP090202F|SLA09020201F
SL09|3|SLP090301F|SLA09030102F
SL09|3|SLP090302F|SLA09030203F
SL09|3|SLP090302F|SLA09030200F
SL09|4|SLP090401F|SLA09040102F
SL09|4|SLP090402F|SLA09040202F
SL09|4|SLP090403F|SLA09040303F
SL09|4|SLP090404F|SLA09040403F
SL09|5|SLP090501F|SLA09050101F
SL09|5|SLP090502F|SLA09050201F
SL09|5|SLP090503F|SLA09050303F
SL09|5|SLP090503F|SLA09050301F
SL09|6|SLP090601F|SLA09060102F
SL09|6|SLP090602F|SLA09060203F
SL09|7|SLP090701F|SLA09070101F
SL09|7|SLP090702F|SLA09070200F
SL09|7|SLP090703F|SLA09070302F
SL09|7|SLP090704F|SLA09070400F
SL09|8|SLP090801F|SLA09080101F
SL09|8|SLP090802F|SLA09080201F
SL09|8|SLP090802F|SLA09080202F
SL09|9|SLP090901F|SLA09090102F
SL09|9|SLP090902F|SLA09090201F
SL09|9|SLP090903F|SLA09090303F
SL09|10|SLP091001F|SLA09100101F
SL09|10|SLP091002F|SLA09100202F
SL11|1|SLP110101F|SLA11010100F
SL11|1|SLP110102F|SLA11010200F
SL11|2|SLP110201F|SLA11020103F
SL11|2|SLP110202F|SLA11020200F
SL11|2|SLP110203F|SLA11020303F
SL11|3|SLP110301F|SLA11030101F
SL11|3|SLP110302F|SLA11030200F
SL11|4|SLP110401F|SLA11040103F
SL11|4|SLP110402F|SLA11040200F
SL11|4|SLP110403F|SLA11040302F
SL11|5|SLP110501F|SLA11050102F
SL11|5|SLP110502F|SLA11050202F
SL11|5|SLP110503F|SLA11050302F
SL11|5|SLP110504F|SLA11050402F
SL11|6|SLP110601F|SLA11060101F
SL11|6|SLP110602F|SLA11060203F
SL11|6|SLP110603F|SLA11060301LF
SL11|6|SLP110603F|SLA11060302F
SL11|7|SLP110701F|SLA11070103F
SL11|7|SLP110702F|SLA11070203F
SL11|8|SLP110801F|SLA11080103F
SL11|8|SLP110802F|SLA11080201LF
SL11|8|SLP110803F|SLA11080301F
SL11|8|SLP110803F|SLA11080302F
SL11|9|SLP110901F|SLA11090102F
SL11|9|SLP110902F|SLA11090203F
SL11|10|SLP111001L|SLA11100100L
SL11|10|SLP111002L|SLA11100202L
SL11|10|SLP111001F|SLA11100100F
SL11|10|SLP111002F|SLA11100200F
SL12|1|SLP120101F|SLA12010100F
SL12|1|SLP120102F|SLA12010200F
SL12|2|SLP120201F|SLA12020102F
SL12|2|SLP120202F|SLA12020201F
SL12|2|SLP120203F|SLA12020300F
SL12|3|SLP120301F|SLA12030102F
SL12|3|SLP120302F|SLA12030203F
SL12|3|SLP120303F|SLA12030302F
SL12|4|SLP120401F|SLA12040100F
SL12|4|SLP120402F|SLA12040201F
SL12|5|SLP120501F|SLA12050102F
SL12|5|SLP120502F|SLA12050203F
SL12|6|SLP120601F|SLA12060100F
SL12|6|SLP120602F|SLA12060201F
SL12|6|SLP120603F|SLA12060300F
SL12|7|SLP120701F|SLA12070100F
SL12|7|SLP120702F|SLA12070200F
SL12|7|SLP120703F|SLA12070300F
SL12|8|SLP120801F|SLA12080102F
SL12|8|SLP120802F|SLA12080200F
SL12|8|SLP120803F|SLA12080300F
SL12|9|SLP120901F|SLA12090103F
SL12|9|SLP120902F|SLA12090203F
SL12|9|SLP120903F|SLA12090300F
SL12|10|SLP121001F|SLA12100100F
SL12|10|SLP121002F|SLA12100200F
SL13|1|SLP130101F|SLA13010100F
SL13|1|SLP130102F|SLA13010200F
SL13|2|SLP130201F|SLA13020101F
SL13|2|SLP130202F|SLA13020201F
SL13|4|SLP130401F|SLA13040101F
SL13|5|SLP130501F|SLA13050102F
SL13|6|SLP130601F|SLA13060102F
SL13|6|SLP130601F|SLA13060101F
SL13|7|SLP130701F|SLA13070100F
SL13|7|SLP130702F|SLA13070201F
SL13|7|SLP130703F|SLA13070301F
SL13|7|SLP130704F|SLA13070401F
SL13|7|SLP130705F|SLA13070501F
SL13|8|SLP130801F|SLA13080101F
SL13|8|SLP130802F|SLA13080200F
SL13|8|SLP130803F|SLA13080301F
SL13|9|SLP130901F|SLA13090101F
SL13|9|SLP130901F|SLA13090103F
SL14|1|SLP140101F|SLA14010101F
SL14|2|SLP140201F|SLA14020102F
SL14|2|SLP140202F|SLA14020202F
SL14|3|SLP140301F|SLA14030102F
SL14|3|SLP140302F|SLA14030201F
SL14|3|SLP140303F|SLA14030303F
SL14|4|SLP140401F|SLA14040101F
SL14|4|SLP140401F|SLA14040102F
SL14|4|SLP140401F|SLA14040103F
SL14|4|SLP140402F|SLA14040201F
SL14|5|SLP140501F|SLA14050101F
SL14|5|SLP140502F|SLA14050200F
SL14|6|SLP140601F|SLA14060100F
SL14|6|SLP140602F|SLA14060202F
SL14|7|SLP140701F|SLA14070101F
SL14|7|SLP140702F|SLA14070202F
SL14|8|SLP140801F|SLA14080100F
SL14|8|SLP140802F|SLA14080202F
SL14|9|SLP140901F|SLA14090102F
SL14|9|SLP140902F|SLA14090200F
SL14|9|SLP140903F|SLA14090303F
SL14|9|SLP140903F|SLA14090302F
SL14|10|SLP141001F|SLA14100101F
SL15|1|SLP150101F|SLA15010100F
SL15|1|SLP150102F|SLA15010200F
SL15|1|SLP150103F|SLA15010300F
SL15|2|SLP150201F|SLA15020101F
SL15|2|SLP150202F|SLA15020200F
SL15|3|SLP150301F|SLA15030101F
SL15|3|SLP150302F|SLA15030201F
SL15|3|SLP150303F|SLA15030301F
SL15|4|SLP150401F|SLA15040101F
SL15|4|SLP150402F|SLA15040200F
SL15|4|SLP150403F|SLA15040300F
SL15|5|SLP150501F|SLA15050101F
SL15|5|SLP150502F|SLA15050201F
SL15|5|SLP150503F|SLA15050300F
SL15|6|SLP150601F|SLA15060101F
SL15|6|SLP150602F|SLA15060202F
SL15|7|SLP150701F|SLA15070100F
SL15|7|SLP150702F|SLA15070200F
SL15|7|SLP150703F|SLA15070300F
SL15|8|SLP150801F|SLA15080101F
SL15|9|SLP150901F|SLA15090101F
SL15|9|SLP150902F|SLA15090201F
SL15|10|SLP151001F|SLA15100101F
SL15|10|SLP151002F|SLA15100200F
SL15|10|SLP151003F|SLA15100300F
SL16|1|SLP160101F|SLA16010100F
SL16|1|SLP160102F|SLA16010200F
SL16|2|SLP160201F|SLA16020103F
SL16|2|SLP160202F|SLA16020200F
SL16|3|SLP160301F|SLA16030102F
SL16|3|SLP160302F|SLA16030200F
SL16|4|SLP160401F|SLA16040100F
SL16|4|SLP160402F|SLA16040201F
SL16|4|SLP160403F|SLA16040303F
SL16|4|SLP160404F|SLA16040400F
SL16|5|SLP160501F|SLA16050100F
SL16|5|SLP160502F|SLA16050200F
SL16|6|SLP160601F|SLA16060100F
SL16|6|SLP160602F|SLA16060200F
SL16|6|SLP160603F|SLA16060300F
SL16|6|SLP160604F|SLA16060401F
SL16|7|SLP160701F|SLA16070100F
SL16|7|SLP160702F|SLA16070200F
SL16|7|SLP160703F|SLA16070303F
SL16|7|SLP160704F|SLA16070402F
SL16|8|SLP160801F|SLA16080100F
SL16|8|SLP160802F|SLA16080200F
SL16|9|SLP160901F|SLA16090101F
SL16|9|SLP160902F|SLA16090200F
SL16|9|SLP160903F|SLA16090301F
SL16|9|SLP160904F|SLA16090402F
SL16|10|SLP161001F|SLA16100102F
SL17|1|SLP170101F|SLA17010100F
SL17|2|SLP170201F|SLA17020101F
SL17|3|SLP170301F|SLA17030101F
SL17|3|SLP170302F|SLA17030201F
SL17|3|SLP170303F|SLA17030303F
SL17|4|SLP170401F|SLA17040100F
SL17|4|SLP170402F|SLA17040200F
SL17|4|SLP170403F|SLA17040300F
SL17|4|SLP170404F|SLA17040400F
SL17|5|SLP170501F|SLA17050102F
SL17|5|SLP170502F|SLA17050200F
SL17|5|SLP170503F|SLA17050301F
SL17|5|SLP170503F|SLA17050302F
SL17|6|SLP170601F|SLA17060100F
SL17|6|SLP170602F|SLA17060200F
SL17|6|SLP170603F|SLA17060300F
SL17|7|SLP170701F|SLA17070102F
SL17|9|SLP170901F|SLA17090100F
SL17|9|SLP170902F|SLA17090200F
SL17|9|SLP170903F|SLA17090300F
SL17|9|SLP170904F|SLA17090400F
SL17|10|SLP171001F|SLA17100100F
SL18|1|SLP180101F|SLA18010100F
SL18|1|SLP180102F|SLA18010203F
SL18|2|SLP180201F|SLA18020100F
SL18|2|SLP180202F|SLA18020201F
SL18|2|SLP180203F|SLA18020302F
SL18|2|SLP180203F|SLA18020300F
SL18|3|SLP180301F|SLA18030103F
SL18|3|SLP180302F|SLA18030202F
SL18|4|SLP180401F|SLA18040101F
SL18|4|SLP180402F|SLA18040203F
SL18|5|SLP180501F|SLA18050102F
SL18|5|SLP180502F|SLA18050203F
SL18|5|SLP180503F|SLA18050302F
SL18|6|SLP180601F|SLA18060100F
SL18|6|SLP180602F|SLA18060200F
SL18|6|SLP180603F|SLA18060303F
SL18|7|SLP180701F|SLA18070100F
SL18|7|SLP180702F|SLA18070203F
SL18|8|SLP180801F|SLA18080103F
SL18|8|SLP180802F|SLA18080200F
SL18|8|SLP180803F|SLA18080302F
SL18|9|SLP180901F|SLA18090100F
SL18|9|SLP180902F|SLA18090200F
SL18|9|SLP180903F|SLA18090301F
SL18|9|SLP180904F|SLA18090401F
SL18|9|SLP180905F|SLA18090500F
SL18|9|SLP180906F|SLA18090600F
SL18|10|SLP181001F|SLA18100102F
SL20|1|SLP200101F|SLA20010100F
SL20|1|SLP200102F|SLA20010200F
SL20|1|SLP200103F|SLA20010300F
SL20|2|SLP200201F|SLA20020102F
SL20|2|SLP200202F|SLA20020202F
SL20|2|SLP200203F|SLA20020300F
SL20|3|SLP200301F|SLA20030102F
SL20|3|SLP200302F|SLA20030200F
SL20|3|SLP200303F|SLA20030300F
SL20|3|SLP200303F|SLA20030303R
SL20|4|SLP200401F|SLA20040101F
SL20|4|SLP200402F|SLA20040201F
SL20|5|SLP200501F|SLA20050100F
SL20|5|SLP200502F|SLA20050202F
SL20|5|SLP200502F|SLA20050204F
