Id|Answer|Relationship
SLA02S01R01P00Af|ANY|Friend
SLA02S02R01P01Af|"It must be tough."|Friend
SLA02S03R01P03Af|"Hmm, you're looking hairier."|Friend
SLA02S03R02P00Af|ANY|Friend
SLA02S04R01P03Af|"You're incredible."|Friend
SLA02S04R02P01Af|"That's the spirit!"|Friend
SLA02S05R01P01Af|"Of course."|Friend
SLA02S05R02P03Af|"I will soon."|Friend
SLA02S06R01P01Af|"No problem"|Friend
SLA02S06R02P02Af|"Man, you're mature."|Friend
SLA02S07R01P00Af|ANY|Friend
SLA02S07R02P01Af|"You were just upset."|Friend
SLA02S08R01P00Af|ANY|Friend
SLA02S08R02P00Af|ANY|Friend
SLA02S08R03P00Af|ANY|Friend
SLA02S09R01P01Af|"Cheer up."|Friend
SLA02S09R02P01Af|"You're right."|Friend
SLA02S10R01P00Af|ANY|Friend
SLA02S10R02P00Af|ANY|Friend
SLA03S01R01P00Af|ANY|Friend
SLA03S01R02P00Af|ANY|Friend
SLA03S02R01P02Af|"Sensei?"|Friend
SLA03S02R02P01Af|"Sounds good."|Friend
SLA03S03R01P01Af|"Making dinner at the inn?"|Friend
SLA03S03R02P01Af|"Good luck."|Friend
SLA03S03R03P01Af|"Count me in!"|Friend
SLA03S03R03P02Af|"I don't mind."|Friend
SLA03S04R01P01Af|"Let's eat!"|Friend
SLA03S04R01P00Af|ANY|Friend
SLA03S04R02P01Af|"There's always next time."|Friend
SLA03S04R03P02Af|"I'm having fun."|Friend
SLA03S05R01P01Af|"What's all this for?"|Friend
SLA03S05R02P00Af|ANY|Friend
SLA03S05R03P00Af|ANY|Friend
SLA03S06R01P02Af|"Gotten any better yet?"|Friend
SLA03S06R02P02Af|"Keep practicing."|Friend
SLA03S06R03P03Af|"They care about you."|Friend
SLA03S07R01P00Af|ANY|Friend
SLA03S07R02P02Af|"They're not mistaken."|Friend
SLA03S08R01P00Af|ANY|Friend
SLA03S08R02P02Af|"You were cool."|Friend
SLA03S09R01P03Af|"For you…"|Friend
SLA03S09R02P03Al|"I really like you."|Lover
SLA03S09R02P00Af|ANY|Friend
SLA03S10R01P00Al|ANY|Lover
SLA03S10R02P00Al|ANY|Lover
SLA03S10R03P00Al|ANY|Lover
SLA03S10R01P00Af|ANY|Friend
SLA03S10R02P00Af|ANY|Friend
SLA05S01R01P00Af|ANY|Friend
SLA05S01R02P00Af|ANY|Friend
