Answer Id|Knowledge Required|Courage Required|Understanding Required|Expression Required|Diligence Required
SLA03S03R03P01Af|0|4|0|0|0
SLA03S04R01P01Af|0|4|0|0|0
SLA05S08R01P02Af|0|4|0|0|0
SLA05S08R01P03Af|4|0|0|0|0
SLA05S08R03P01Af|0|0|0|4|0
SLA06S08R02P03Af|0|5|0|0|0
SLA07S06R03P03Af|0|0|5|0|0
SLA07S07R03P01Af|0|5|0|0|0
SLA08S03R01P01Af|0|3|0|0|0
SLA08S04R01P03Af|0|3|0|0|0
SLA08S04R02P03Af|0|4|0|0|0
SLA09S03R02P03Af|0|3|0|0|0
SLA09S05R03P03Af|0|0|3|0|0
SLA11S05R03P02Af|0|0|2|0|0
SLA13S06R01P02Af|0|0|4|0|0
SLA14S04R01P01Af|0|4|0|0|0
SLA14S04R01P02Af|0|0|0|4|0
SLA14S09R03P03Af|0|0|5|0|0
SLA17S05R03P01Af|0|0|5|0|0
SLA18S02R03P02Af|0|0|0|0|5
SLA22S02R01P02Af|0|0|3|0|0
SLA22S04R01P03Af|0|3|0|0|0
SLA22S04R02P03Af|0|3|0|0|0
SLA22S04R03P02Af|0|0|3|0|0
SLA22S05R02P03Af|0|0|3|0|0
SLA22S09R01P03Al|0|5|0|0|0
