Id|Prompt|Relationship
SLP02S01R01Pf|Yosuke: "There's no way the police can do it... Who'd believe that the murderer kills people by throwing them into the TV?"|Friend
SLP02S02R01Pf|Yosuke: "Sorry about that. You know me, I'm infamous around here."|Friend
SLP02S03R01Pf|Yosuke: "Wait a minute... Am I starting to sound like Teddie?"|Friend
SLP02S03R02Pf|Yosuke: "Looks like someone got my address. I get a lot of spam."|Friend
SLP02S04R01Pf|Yosuke: "Phew I'm beat... I am not the complaints department..."|Friend
SLP02S04R02Pf|Yosuke: "I have to do what I can..."|Friend
SLP02S05R01Pf|Yosuke: "So...? You keep the goods under your futon?"|Friend
SLP02S05R02Pf|Yosuke: "So, you ever invited a girl in here?"|Friend
SLP02S06R01Pf|Yosuke: "But hey, I'm glad you were there! Thanks.|Friend
SLP02S06R02Pf|Yosuke: "So... there's no need to bother with outsiders."|Friend
SLP02S07R01Pf|They started to badmouth Saki-senpai|Friend
SLP02S07R02Pf|Yosuke: "I just blurted out a buncha crap, huh?"|Friend
SLP02S08R01Pf|Yosuke: "But then..."|Friend
SLP02S08R02Pf|Yosuke: "I'm sorry... Saki-senpai. I'm sorry... Main Character.|Friend
SLP02S08R03Pf|Yosuke: "Main Character... I think I'm all cried out..."|Friend
SLP02S09R01Pf|Yosuke is smiling sadly...|Friend
SLP02S09R02Pf|Yosuke: "Just being born, living your life... Before you know it, you're already special to someone."|Friend
SLP02S10R01Pf|Yosuke: "I like you for that, and I'm proud of you... But I guess I was jealous at the same time."|Friend
SLP02S10R02Pf|Will hitting Yousuke make you and him equal...?|Friend
SLP03S01R01Pf|Yukiko: "Do you think the culprit will come... ?"|Friend
SLP03S01R02Pf|You haven't yet asked Yukiko for her contact information.|Friend
SLP03S02R01Pf|Yukiko: "Sensei recommended this book to me because it has details on a bunch of different job licenses..."|Friend
SLP03S02R02Pf|Yukiko: "I was thinking something along the lines of an interior decorator... What do you think?"|Friend
SLP03S03R01Pf|Yukiko: "Even eggs come in so many varieties..."|Friend
SLP03S03R02Pf|Yukiko: "So I'm going to get some practice while I can!"|Friend
SLP03S03R03Pf|Yukiko: "W-will... you?"|Friend
SLP03S04R01Pf|For some reason, an unusually pungent smell hangs in the air.|Friend
SLP03S04R02Pf|Yukiko looks sad...|Friend
SLP03S04R03Pf|Yukiko: "Umm... I'm sorry to drag you around..."|Friend
SLP03S05R01Pf|Yukiko: "Then the furniture department. I want to look at the desk. Those and the lamps..."|Friend
SLP03S05R02Pf|Yukiko: "Those people are from some TV station. They wanted to cover the Amagi Inn."|Friend
SLP03S05R03Pf|Yukiko: "...I'd feel better about leaving."|Friend
SLP03S06R01Pf|Yukiko: "I wrote down everything I need, so this shouldn't take that long."|Friend
SLP03S06R02Pf|Yukiko: "But it's not turning out quite like it does in the book, even though I'm following the directions."|Friend
SLP03S06R03Pf|Yukiko: "Are they that worried about my cooking...?"|Friend
SLP03S07R01Pf|Yukiko: "Once I leave this town... I won't be able to come here again, will I...?"|Friend
SLP03S07R02Pf|Yukiko: "They all have the wrong idea... I'm really sorry..."|Friend
SLP03S08R01Pf|Yukiko: "I'm sorry, I have to go."|Friend
SLP03S08R02Pf|Yukiko: "W-was I scary?"|Friend
SLP03S09R01Pf|Yukiko: "Are you going to wish for something, Main Character-kun?"|Friend
SLP03S09R02Pl|Yukiko: "I-is it okay... for me to ask...?"|Lover
SLP03S09R02Pf|Yukiko: "I-is it okay... for me to ask...?"|Friend
SLP03S10R01Pl|Yukiko: "Umm, sorry... I don't know what to talk about..."|Lover
SLP03S10R02Pl|Yukiko: "That's why... I'm going to stay here. By my own will."|Lover
SLP03S10R03Pl|Yukiko: It's a charm from that shrine... To protect you."|Lover
SLP03S10R01Pf|Yukiko: "That's why... I'm going to stay here. By my own will."|Friend
SLP03S10R02Pf|Yukiko: "It's the charm from that shrine... to protect you.|Friend
SLP05S01R01Pf|Kanji: "Oh, you here to tell me off or somethin'?"|Friend
SLP05S01R02Pf|Kanji: "Senpai, you suspecting me!?"|Friend
SLP05S01R03Pf|Kanji: "At this rate, I'll be causing trouble for you guys..."|Friend
